time,size_product,lead_product,ratio,m,n,k,lead_A,lead_B,lead_C
15.035156,89494571817,89494571817,1.0,4473,4473,4473,4473,4473,4473
13.550853,82426462208,82426462208,1.0,4352,4352,4352,4352,4352,4352
7.692266,45921171941,45921171941,1.0,3581,3581,3581,3581,3581,3581
2.041519,11961853903,11961853903,1.0,2287,2287,2287,2287,2287,2287
1.201664,7166730752,7166730752,1.0,1928,1928,1928,1928,1928,1928
18.490357,111284641000,111284641000,1.0,4810,4810,4810,4810,4810,4810
19.78966,118298461429,118298461429,1.0,4909,4909,4909,4909,4909,4909
0.189047,1092727000,1092727000,1.0,1030,1030,1030,1030,1030,1030
18.666757,109695871403,109695871403,1.0,4787,4787,4787,4787,4787,4787
2.739315,15756617843,15756617843,1.0,2507,2507,2507,2507,2507,2507
2.77875,16620420608,16620420608,1.0,2552,2552,2552,2552,2552,2552
9.918196,57289251375,57289251375,1.0,3855,3855,3855,3855,3855,3855
2.902377,17353862469,17353862469,1.0,2589,2589,2589,2589,2589,2589
6.166018,37125997056,37125997056,1.0,3336,3336,3336,3336,3336,3336
19.189646,116643458456,116643458456,1.0,4886,4886,4886,4886,4886,4886
19.801564,118732760875,118732760875,1.0,4915,4915,4915,4915,4915,4915
16.491564,97908438529,97908438529,1.0,4609,4609,4609,4609,4609,4609
19.812772,119750257089,119750257089,1.0,4929,4929,4929,4929,4929,4929
2.020707,11836763639,11836763639,1.0,2279,2279,2279,2279,2279,2279
5.4022,32066506233,32066506233,1.0,3177,3177,3177,3177,3177,3177
11.612701,70240512376,70240512376,1.0,4126,4126,4126,4126,4126,4126
3.86012,23149125000,23149125000,1.0,2850,2850,2850,2850,2850,2850
11.569013,69527932928,69527932928,1.0,4112,4112,4112,4112,4112,4112
19.184211,115145914625,115145914625,1.0,4865,4865,4865,4865,4865,4865
0.817148,4599141247,4599141247,1.0,1663,1663,1663,1663,1663,1663
6.131967,36926037000,36926037000,1.0,3330,3330,3330,3330,3330,3330
6.367728,38102652125,38102652125,1.0,3365,3365,3365,3365,3365,3365
13.515356,81014113783,81014113783,1.0,4327,4327,4327,4327,4327,4327
4.997778,29993266043,29993266043,1.0,3107,3107,3107,3107,3107,3107
13.776645,81746504000,81746504000,1.0,4340,4340,4340,4340,4340,4340
