time,m,n,k,lead_A,lead_B,lead_C
2.234469,4713,2790,681,4713,4713,4713
0.561059,4802,217,2128,4802,4802,4802
1.691502,499,4867,2824,4867,4867,4867
7.79113,2613,4573,2651,4573,4573,4573
0.71309,197,3381,4204,4204,4204,4204
0.897584,191,4230,4341,4341,4341,4341
3.749079,3928,1602,2417,3928,3928,3928
5.922003,4264,1745,3251,4264,4264,4264
3.13488,3434,2905,1257,3434,3434,3434
0.596341,1679,3071,431,3071,3071,3071
0.742446,4924,705,868,4924,4924,4924
1.624257,1708,2453,1577,2453,2453,2453
5.56693,4747,4351,1116,4747,4747,4747
1.833504,1795,1011,4124,4124,4124,4124
0.436659,3751,492,950,3751,3751,3751
0.542819,525,2048,2030,2048,2048,2048
5.723542,4452,1146,4561,4561,4561,4561
1.006952,815,2716,1854,2716,2716,2716
7.555158,3667,3470,2397,3667,3667,3667
2.64964,2599,4997,779,4997,4997,4997
1.417358,4021,1131,1270,4021,4021,4021
0.086606,791,1534,284,1534,1534,1534
0.064625,1499,96,1650,1650,1650,1650
6.400675,2950,4088,2176,4088,4088,4088
0.513872,141,3278,4270,4270,4270,4270
18.649481,4292,3560,4975,4975,4975,4975
2.734473,4805,3070,762,4805,4805,4805
3.413832,1005,4352,3203,4352,4352,4352
1.327119,2207,4339,566,4339,4339,4339
0.57851,2931,2774,286,2931,2931,2931
5.532085,3791,2247,2654,3791,3791,3791
2.963178,1107,2188,4999,4999,4999,4999
0.149237,54,3344,2723,3344,3344,3344
0.042001,2308,162,415,2308,2308,2308
5.911009,3111,1951,3953,3953,3953,3953
5.819542,3574,1509,4412,4412,4412,4412
1.582647,2838,920,2486,2838,2838,2838
18.948083,4555,4553,3721,4555,4555,4555
0.618056,4036,2106,296,4036,4036,4036
1.488548,2127,1391,2037,2127,2127,2127
0.076521,1084,242,1105,1105,1105,1105
13.317328,4392,3676,3396,4392,4392,4392
12.789561,3742,4710,2998,4710,4710,4710
0.829733,1859,365,4890,4890,4890,4890
0.244025,232,1306,3162,3162,3162,3162
4.908349,4556,1078,4114,4556,4556,4556
0.569898,507,3860,1160,3860,3860,3860
0.06415,635,3884,102,3884,3884,3884
7.993687,2687,3733,3227,3733,3733,3733
5.34012,4415,3295,1447,4415,4415,4415
