time,m,n,lead_A,lead_B
0.023434,1632,339,1632,1632
0.001893,1733,62,1733,1733
0.374302,2810,1061,2810,2810
0.013219,57,1347,1347,1347
4.028144,2783,3752,3752,3752
1.034322,560,4238,4238,4238
0.313937,4906,752,4906,4906
3.202179,3041,3135,3135,3135
2.224904,2486,2936,2936,2936
0.172092,2416,800,2416,2416
1.415582,3962,1789,3962,3962
0.05347,632,855,855,855
5.044876,3905,3501,3905,3905
1.56314,1425,3264,3264,3264
3.045425,3763,2800,3763,3763
0.059139,2774,418,2774,2774
1.308452,577,4700,4700,4700
2.78531,2905,3035,3035,3035
0.775519,429,4180,4180,4180
0.104734,73,3518,3518,3518
